question,reponse,src,rag_answer
Qui doit passer l'examen de français et quel est le coût associé ?,"Les candidats étrangers, ceux sans certificat de maturité dont le français n'était pas la langue officielle d'enseignement, et les étudiants de l'Université visant un changement de programme ou une réimmatriculation doivent passer l'examen de français, coûtant Fr. 100.-.",RItaxes-2021.pdf,"Les personnes qui doivent passer l'examen de français à l'Université de Genève et le coût associé sont les suivantes :

1. Les candidat-es étranger-es titulaires d’un diplôme de fin d’études étranger obtenu dans un établissement dont le français n’est pas la langue officielle d’enseignement, conformément à l’article 55 alinéa 6 du statut de l’Université.
2. Les candidat-es non-porteurs/euses d’un certificat de maturité ou d’un titre jugé équivalent, au sens de l’article 55 alinéa 4 du statut de l’Université, et dont le français n’a pas été la langue officielle d’enseignement, conformément à l’article 2 alinéa 1 du Règlement interne relatif à l’admission à l’Université de Genève des candidats non-porteurs d’un certificat de maturité.
3. Les étudiant-es et ancien-nes étudiant-es de l’Université n’ayant pas été soumis-es à l’examen de français au moment de leur immatriculation et qui visent un changement de niveau, de programme et/ou de faculté, ou alors une réimmatriculation requérant la réussite de l’examen de français.

Le coût de l'examen de français est de Fr. 100.-."
Quel est le coût pour les auditrices et auditeurs par cours ou séminaire ?,Les auditrices et auditeurs doivent payer un émolument de Fr. 50.- par intitulé de cours ou de séminaire.,RItaxes-2021.pdf,Le coût pour les auditrices et auditeurs par cours ou séminaire à l'Université de Genève est de Fr. 50.-.
Quel est le coût de la procédure de validation des acquis de l'expérience (VAE) ?,Le coût pour la procédure VAE est de Fr. 1000.- pour le traitement du dossier.,RItaxes-2021.pdf,Le coût de la procédure de validation des acquis de l'expérience (VAE) à l'Université de Genève est de Fr. 1000.-.
Quels sont les frais pour une demande d'immatriculation à l'université ?,Les candidats à l'immatriculation doivent s'acquitter d'un émolument de Fr. 65.- pour frais de dossier. Les demandes d'immatriculation formées après les délais entraînent un émolument supplémentaire de Fr. 100.-.,RItaxes-2021.pdf,"Les frais pour une demande d'immatriculation à l'Université de Genève sont de Fr. 65.- pour frais de dossier. Cet émolument est déduit des premières taxes semestrielles pour les candidat-es qui sont définitivement immatriculé-es à l'Université pour le semestre postulé. Si le/la candidat-e n'est pas immatriculé-e, cet émolument reste acquis à l'Université. Les titulaires d'un titre de fin d'études secondaires suisse et les candidat-es non titulaires d'un titre de fin d'études secondaires mais porteurs d'attestations de scolarité suisses en sont exonérés. Une demande d'immatriculation formée après les délais peut entraîner un émolument supplémentaire de Fr. 100.-."
Comment sont déterminés les émoluments pour les programmes de formation spécifique ?,Les émoluments pour les programmes de formation spécifique sont fixés par le Rectorat et restent acquis à l’Université même si le participant interrompt son programme.,RItaxes-2021.pdf,"Les émoluments pour les programmes de formation spécifique à l'Université de Genève sont fixés par le Rectorat, comme indiqué dans l'Article 12 du règlement. Ces émoluments restent acquis à l’Université même si le/la participant-e interrompt son programme de formation pour quelque motif que ce soit."
Quels sont les émoluments pour les cours de langues de la Maison des Langues ?,Des émoluments sont perçus pour les cours de langues de la Maison des Langues en fonction du nombre d'heures et/ou de participants. Les étudiants en mobilité bénéficient de réductions ou d'exonération de ces émoluments.,RItaxes-2021.pdf,Les émoluments pour les cours de langues de la Maison des Langues de l'Université de Genève sont perçus en fonction du nombre d'heures dispensées et/ou du nombre de participant-es inscrit-es.
Quels sont les coûts associés à la délivrance des diplômes et des documents équivalents ?,"La délivrance des diplômes et suppléments au diplôme est gratuite, sauf pour les diplômes calligraphiés de l’ancien système d’études et des doctorats, coûtant Fr. 250.-. Les attestations d'équivalence coûtent CHF 50.- par attestation.",RItaxes-2021.pdf,"La délivrance des diplômes et suppléments au diplôme, tels que le baccalauréat universitaire, la maîtrise universitaire, le diplôme, le certificat et le doctorat, est gratuite. Cependant, un émolument de CHF 250.- est perçu pour la délivrance sous forme calligraphiée des licences et diplômes émis sous l'ancien système d'études (avant la réforme de Bologne) et des doctorats. De plus, pour les attestations d'équivalence, un émolument de CHF 50.- est requis par attestation pour les titulaires d'une licence ou d'un diplôme de l'ancien système d'études de l'Université de Genève, ainsi que pour les titulaires d'un DEA ou d'un DESS reconnus équivalents à un Master of Advanced Studies (MAS)."
Quels sont les frais pour la réimpression et la délivrance de duplicatas de documents officiels ?,"La délivrance de duplicatas et de réimpressions coûte Fr. 25.- par document, sauf pour les duplicatas calligraphiés, qui coûtent Fr. 250.-.",RItaxes-2021.pdf,"Les frais pour la réimpression et la délivrance de duplicatas de documents officiels à l'Université de Genève sont les suivants :

- Réimpression des diplômes et suppléments au diplôme en cas de changement de nom/prénom/genre officiel : CHF 25.-
- Duplicata des diplômes ou suppléments au diplôme des baccalauréats universitaires, maîtrises universitaires, diplômes, certificats ou doctorats (sur présentation d'un justificatif) : CHF 25.-
- Réimpression de la carte multiservices : CHF 25.-
- Duplicata d'un document officiel disponible en ligne par l’étudiant : CHF 15.-
- Duplicata calligraphié d'un des documents visés à la lettre a) ci-dessus lorsqu'il n'est plus possible de délivrer un duplicata informatisé : CHF 250.-"
Quel est le coût pour la certification conforme et l'authentification de signature ?,La certification conforme et l'authentification de signature coûtent Fr. 10.-. Les frais postaux pour l’envoi à l’étranger et les documents officiels traduits en anglais coûtent respectivement Fr. 10.- et Fr. 15.-.,RItaxes-2021.pdf,Le coût pour la certification conforme d’un document officiel de l’Université de Genève ou pour l’authentification de signature de l’Université est de CHF 10.-.
Quand le règlement relatif aux taxes universitaires est-il entré en vigueur ?,Le règlement relatif aux taxes universitaires est entré en vigueur le 24 août 2021.,RItaxes-2021.pdf,Le règlement relatif aux taxes universitaires est entré en vigueur le 1er janvier 2022.
Quels types de formations la Faculté des sciences propose-t-elle ?,"La Faculté des sciences propose trois types de formation : formation de base (études de bachelor et master), formation approfondie (certificats de spécialisation et études de doctorat), et formation continue, incluant des certificats complémentaires et des MAS (master of advanced studies).",RegleGen.pdf,"La Faculté des sciences de l'Université de Genève propose trois types de formation :

1. Formation de base :
   - Études de bachelor (baccalauréat universitaire), avec une première année appelée année propédeutique.
   - Études de master (maîtrise universitaire).

2. Formation approfondie :
   - Certificats de spécialisation.
   - Études de doctorat.

3. Formation continue :
   - Délivrance de certificats complémentaires ou de spécialisation.
   - Masters of advanced studies (MAS).

De plus, la Faculté peut organiser des enseignements annexes et des compléments d’études pour raccorder des cursus non immédiatement accessibles aux étudiants. Ces compléments d’études n’aboutissent pas à l’obtention d’un titre."
Quelles sont les conditions d'admission pour les étudiants désirant entreprendre une formation de base à la Faculté des sciences ?,Les étudiants désirant entreprendre une formation de base s'inscrivent pour la rentrée universitaire du semestre d’automne. Ils peuvent être admis par dérogation au semestre du printemps si leurs études antérieures et le cursus envisagé le permettent.,RegleGen.pdf,"Pour être admis à une formation de base à la Faculté des sciences de l'Université de Genève, les étudiants doivent remplir les conditions générales d'immatriculation de l'Université ainsi que les conditions fixées par chaque règlement d'études spécifique au titre délivré. Les inscriptions pour la rentrée universitaire du semestre d'automne sont privilégiées, mais des admissions au semestre de printemps peuvent être accordées par dérogation si les études antérieures et le cursus envisagé le permettent. Cette décision est prise par le doyen ou le conseiller aux études facultaire, sur préavis des sections ou départements concernés."
Quelle est la durée réglementaire moyenne d’études pour obtenir un bachelor à la Faculté des sciences ?,"La durée réglementaire moyenne d’études pour obtenir un bachelor (baccalauréat universitaire) à la Faculté des sciences est de 6 semestres, correspondant à un total de 180 crédits ECTS.",RegleGen.pdf,La durée réglementaire moyenne d’études pour obtenir un bachelor à la Faculté des sciences est de 6 semestres.
Quelles sont les conditions pour qu'un étudiant puisse reprendre des études après avoir été éliminé d’un titre de bachelor de la Faculté ?,"Un étudiant peut reprendre des études après avoir été éliminé d'un titre de bachelor de la Faculté, à titre conditionnel, si il a réussi un titre dans une autre haute école. Toutefois, il ne peut être admis dans le master consécutif au bachelor duquel il a été éliminé.",RegleGen.pdf,"Un étudiant peut reprendre des études après avoir été éliminé d’un titre de bachelor de la Faculté des sciences à condition d'avoir réussi un titre dans une autre haute école. Il peut être admis à titre conditionnel ou son admission peut être refusée, en fonction de ses études antérieures et du master visé. Cependant, il ne peut pas être admis dans le master consécutif au bachelor duquel il a été éliminé. La décision est prise par le doyen ou, par délégation, par le conseiller aux études facultaire, qui peut tenir compte de circonstances exceptionnelles dûment justifiées."
Quel est le nombre maximal de crédits ECTS pouvant être acquis par voie d'équivalence pour un master ?,"Pour un master, le nombre maximal de crédits ECTS pouvant être acquis par voie d'équivalence ou de double validation ne peut excéder 30 crédits ECTS sur 90 et 40 crédits ECTS sur 120.",RegleGen.pdf,Le nombre maximal de crédits ECTS qui peut être acquis par voie d'équivalence ou de double validation pour un master est de 30 crédits ECTS sur 90 et 40 crédits ECTS sur 120.
Quels sont les critères pour la réussite des examens selon l'article 14 du règlement ?,"Pour réussir les examens, le candidat doit obtenir une note au moins égale à 4 pour chaque épreuve. Exceptionnellement, des notes inférieures à 4 mais pas inférieures à 2 peuvent être admises. Dans tous les cas, la moyenne des notes doit être égale ou supérieure à 4.",RegleGen.pdf,"Les critères pour la réussite des examens selon l'article 14 du règlement sont les suivants :
1. Le candidat doit obtenir pour chaque épreuve une note au moins égale à 4.
2. Exceptionnellement, les règlements d'études de chaque titre peuvent admettre des notes inférieures à 4, mais en tout cas pas inférieures à 2.
3. La moyenne des notes doit être égale ou supérieure à 4."
Quelle est la sanction en cas de fraude ou de plagiat lors d'une évaluation ?,"Toute fraude, plagiat, tentative de fraude ou de plagiat correspond à un échec à l’évaluation concernée.",RegleGen.pdf,"En cas de fraude ou de plagiat lors d'une évaluation à l'Université de Genève, la sanction est un échec à l'évaluation concernée. De plus, le Collège des professeurs de la Section concernée peut annuler tous les examens subis par l'étudiant lors de la session, ce qui entraîne l'échec du candidat à cette session. Le collège de professeurs peut également considérer l'échec à l'évaluation comme définitif. Si l'échec est définitif et entraîne l'élimination de l'étudiant du titre brigué, le Décanat saisit le Conseil de discipline de l'Université."
Quelles sont les dispositions particulières concernant les étudiants qui participent à des programmes de mobilité ?,Les étudiants peuvent participer à des échanges nationaux ou internationaux après avoir réussi l'année propédeutique et l'ensemble du programme de l’année précédente. Un contrat d’études est établi et les crédits ECTS sont attribués pour chaque unité d’enseignement réussie dans l’institution d’accueil.,RegleGen.pdf,"Les dispositions particulières concernant les étudiants qui participent à des programmes de mobilité, selon l'Article 23, sont les suivantes :

1. L'étudiant peut participer à un échange national ou international après avoir réussi l'année propédeutique et l'ensemble du programme de l'année précédente.
2. La mobilité de l'étudiant est formalisée par un contrat d'études, établi d'entente entre la Section concernée et l'institution d'accueil.
3. Le programme d'études est sanctionné par des évaluations organisées selon les critères de l'institution d'accueil.
4. La Section concernée attribue des crédits ECTS pour chaque unité d'enseignement réussie dans l'institution d'accueil.
5. Les crédits obtenus sont transcrits dans le système de la Faculté des sciences, qui en informe l'étudiant.
6. Seuls les crédits réussis et acquis dans le cadre d'un contrat d'études signé avant le séjour seront pris en considération."
Quelles sont les conditions pour obtenir un congé d'études à la Faculté des sciences ?,"Un congé d'études est accordé pour une période d'un semestre ou d'une année, renouvelable, avec une durée totale ne pouvant excéder 3 semestres pour un baccalauréat universitaire et 2 semestres pour une maîtrise universitaire.",RegleGen.pdf,"Les conditions pour obtenir un congé d'études à la Faculté des sciences de l'Université de Genève sont les suivantes :

1. Le doyen peut accorder à l'étudiant qui en fait la demande écrite un congé.
2. Le congé est accordé pour une période d’un semestre ou d’une année, et il est renouvelable. Sauf exception, la durée totale du congé ne peut excéder 3 semestres pour un baccalauréat universitaire et 2 semestres pour une maîtrise universitaire.
3. Pendant le congé, l'étudiant ne peut ni assister aux cours ou aux travaux pratiques, ni se présenter aux évaluations.
4. Les demandes de congé doivent être adressées au minimum un mois avant le début du semestre pour lequel l’étudiant souhaite obtenir un congé."
Quelles sont les conditions pour l'élimination d'un étudiant du titre qu'il brigue ?,"Un étudiant est éliminé du titre brigué s'il répète sans succès l'année propédeutique, ne peut répéter l’évaluation d’un enseignement non réussi, n'obtient pas au moins 20 crédits ECTS durant les 2 premiers semestres, ne peut répéter l’évaluation d’un enseignement à option, ou n'obtient pas le titre brigué dans les délais d'études fixés.",RegleGen.pdf,"Les conditions pour l'élimination d'un étudiant du titre qu'il brigue à l'Université de Genève sont les suivantes :

1. L'étudiant est éliminé s'il a répété sans succès l'année propédeutique.
2. L'étudiant est éliminé s'il ne peut plus répéter l’évaluation d’un enseignement des études de base, d’un certificat complémentaire, d’un certificat de spécialisation, d’un complément de bachelor ou du master of advanced studies (MAS) ou d’un certificat ou diplôme de formation continue non réussie selon l'article 14.
3. L'étudiant est éliminé s'il n’a pas obtenu au moins 20 crédits ECTS (équivalences exclues) durant les 2 premiers semestres de ses études de bachelor ou de master.
4. L'étudiant est éliminé s'il ne peut plus répéter l’évaluation d’un enseignement à option dans le cadre des limites fixées par l'article 9, alinéa 3.
5. L'étudiant est éliminé s'il n'a pas obtenu le titre brigué dans les délais d'études suivants, qui varient en fonction du nombre de crédits ECTS du titre :
   - 2 semestres pour les titres en 30 crédits ECTS
   - 4 semestres pour les titres en 60 crédits ECTS
   - 6 semestres pour les titres en 90 crédits ECTS
   - 8 semestres pour les titres en 120 crédits ECTS
   - 10 semestres pour les titres en 180 crédits ECTS.
6. En cas d’obtention d’équivalences, les délais pour l’obtention du titre sont ajustés en fonction des crédits effectifs à acquérir, et l'élimination intervient lors du dépassement des délais cités.
7. Pour les études à temps partiel, les délais sont ceux communiqués par écrit par le doyen ou le vice-doyen en charge des étudiants.
8. Les cas de fraude, plagiat, tentative de fraude ou de plagiat sont également réservés.
9. Les éliminations sont prononcées par le doyen.
10. Les dispositions particulières des règlements relatifs aux certificats complémentaires, aux certificats de spécialisation, aux masters of advanced studies (MAS) et aux titres de formation continue sont réservées."
